Question,Reasoning
"A fund manager notices insider buying in a stock. Is this a bullish signal, and how would you validate the conviction?","<reason>
Bullish. 'Insiders sell for many reasons, but buy for only one: they think the price will go up'. It aligns management with shareholders.
</reason>
<exception>
Context matters. Is it a token purchase (optical)? Is it part of a compensation plan? Buying by the CFO/CEO is more signal than a Director. Buying on the open market is better than option exercise. Size matters (relative to net worth).
</exception>
<tension>
This is a tension between 'Signal' and 'Noise/Window Dressing'.
</tension>
<categorization>
We must segregate **Signal** from **Noise**. The former prioritizes *meaningful open-market purchases by key execs*, while the latter prioritizes *ignoring token purchases or option exercises that are just window dressing*.
</categorization>
<deconstruction>
Cluster buying (multiple insiders) is the strongest signal. Buying after a price drop (value) is stronger than buying at highs (momentum).
</deconstruction>
<conclusion>
It is a strong positive filter. Validate by checking the magnitude and the track record of that insider. If they are 'Smart Money', follow them.
</conclusion>"
How would you manage concentration risk in a long/short portfolio with few positions?,"<reason>
High concentration (e.g., 10 positions) maximizes Alpha but maximizes Idiosyncratic Risk. Manage by: Position sizing limits (e.g., max 10% at cost), Stop-losses, and Correlation checks (don't hold 3 banks).
</reason>
<exception>
With few positions, you cannot diversify volatility. You must rely on 'Deep Due Diligence'. The risk management is *pre-trade* (knowing the asset), not *post-trade* (statistics). Hedging with Index Puts helps tail risk.
</exception>
<tension>
This is a tension between 'Conviction' and 'Survival'.
</tension>
<categorization>
We must segregate **Conviction** from **Survival**. The former prioritizes *concentration to maximize alpha*, while the latter prioritizes *position limits and pre-trade diligence to survive idiosyncratic blowups*.
</categorization>
<deconstruction>
Concentration requires 'Liquidity'. You must be able to exit. Concentrated illiquid positions are the widowmaker.
</deconstruction>
<conclusion>
Set hard Drawdown limits per position. Hedge the Beta. Accept higher volatility as the price of higher returns, but eliminate ruin risk (leverage).
</conclusion>"
"A merger arbitrage fund identifies a pending acquisition where the acquirer's stock is trading at $50, the target's stock is at $42, and the deal price is $45. What is the arbitrage spread, and what risks are present?","<reason>
Assuming all-cash deal: Spread = Deal ($45) - Market ($42) = $3. Return = $3 / $42 = 7.1%. If it closes in 3 months, annualized is ~28%.
</reason>
<exception>
Risks: Deal break risk (Antitrust, financing, shareholder vote). If the deal breaks, Target falls to 'Undisturbed Price' (e.g., $30). You risk $12 to make $3. Risk/Reward 4:1 against you. Also, Time risk (delays).
</exception>
<tension>
This is a tension between 'Binary Outcome' (Close/Break) and 'Time Value' (Duration).
</tension>
<categorization>
We must segregate **Binary Outcome** from **Time Value**. The former prioritizes *the spread capture if the deal closes*, while the latter prioritizes *the annualized return and the risk of capital being tied up during delays*.
</categorization>
<deconstruction>
If it is a stock-for-stock deal, you must short the acquirer to lock in the spread. If the acquirer is $50 and the ratio is 0.9, Deal Value = $45. Short 0.9 Acquirer, Buy 1 Target.
</deconstruction>
<conclusion>
The gross spread is attractive (7%), suggesting high perceived risk. Diligence the antitrust angle. If clean, put on the trade.
</conclusion>"
"Explain the types of deal risk in merger arbitrage (regulatory, financing, shareholder vote). How would you model the probability of deal completion?","<reason>
Regulatory: FTC/DOJ antitrust, CFIUS (Foreign investment). Financing: Can the buyer raise the debt? (Check commitment letters). Vote: Will shareholders approve? (Check premium vs history).
</reason>
<exception>
Modeling: Implied Probability = (Price - Undisturbed) / (Deal - Undisturbed). Or use historical base rates (90% of strategic deals close). Regulatory risk is binary and political (Khan FTC).
</exception>
<tension>
This is a tension between 'Legal Framework' and 'Political Will'.
</tension>
<categorization>
We must segregate **Legal Framework** from **Political Will**. The former prioritizes *standard antitrust HHI metrics*, while the latter prioritizes *the unpredictable interventionism of regulators like the FTC or CFIUS*.
</categorization>
<deconstruction>
The spread reflects the market's consensus probability. If you have an edge in legal analysis, you can bet against the spread. Financing risk is correlated with credit markets.
</deconstruction>
<conclusion>
Decompose the spread into its components. If the spread is 5%, is 4% regulatory and 1% time? Bet only where you have a view on the specific hurdle.
</conclusion>"
"A hostile takeover is announced with multiple bidders. How does this affect the arb spread, and what opportunities arise?","<reason>
Bidding war! The target trades *above* the current deal price. The spread becomes negative (Target > Offer). Opportunity: Long Target. You are betting on a higher bid.
</reason>
<exception>
Risk: The white knight disappears, and the hostile bidder walks away. The stock crashes. Also, 'Winner's Curse'—the acquirer overpays and their stock tanks, hurting a stock-swap value.
</exception>
<tension>
This is a tension between 'Auction Theory' (Higher price) and 'Deal Failure' (No deal).
</tension>
<categorization>
We must segregate **Auction Theory** from **Deal Failure**. The former prioritizes *betting on a higher bid in a war*, while the latter prioritizes *the downside risk if all bidders walk away*.
</categorization>
<deconstruction>
Buy Call Options on the target. Limited downside if deal breaks, unlimited upside if bidding war escalates. Or buy Target, Short Acquirer (since Acquirer will likely overpay).
</deconstruction>
<conclusion>
Go Long Target. The presence of multiple bidders puts a floor under the price (the second highest bid). It is the best scenario for arb.
</conclusion>"
How would you analyze the regulatory environment for a cross-border merger? What approval risks would you assess?,"<reason>
Jurisdictions: US (HSR Act), EU (EC), China (SAMR). Any major market can block. Risks: National Security (CFIUS), Competition (Market Share), Strategic Industries (Chips, Defense).
</reason>
<exception>
China's SAMR often uses merger approval as a geopolitical bargaining chip (Trade War). The timeline is unpredictable. EU focuses on 'portfolio effects' and consumer welfare. US focuses on 'market concentration'.
</exception>
<tension>
This is a tension between 'Economic Synergies' and 'Geopolitical Friction'.
</tension>
<categorization>
We must segregate **Economic Synergies** from **Geopolitical Friction**. The former prioritizes *the industrial logic of the merger*, while the latter prioritizes *the use of regulatory approval as a weapon in trade wars*.
</categorization>
<deconstruction>
Analyze 'Remedies'. Can they sell overlapping assets (divestiture) to satisfy regulators? If the overlap is the *core* logic of the deal, it is blocked.
</deconstruction>
<conclusion>
Assess geopolitical tempers. If US/China tensions are high, cross-border tech deals are dead. Avoid deals requiring Chinese approval if possible.
</conclusion>"
A merger is announced but the deal has 18 months to close. How would you compare the arb spread to the risk-free rate and assess whether it's attractive?,"<reason>
Calculate Annualized Return. Spread = 5%. 18 months = 1.5 years. Annualized = 5% / 1.5 = 3.33%. Compare to Risk Free (5%). It is unattractive (Negative Risk Premium).
</reason>
<exception>
Unless the deal has 'Ticking Fees' (Price increases over time) or significant dividends paid to the holder. Or if you leverage the trade. But raw spread < Cash rate is a pass.
</exception>
<tension>
This is a tension between 'Absolute Return' and 'Opportunity Cost' (Duration).
</tension>
<categorization>
We must segregate **Absolute Return** from **Opportunity Cost**. The former prioritizes *the nominal spread*, while the latter prioritizes *comparing the annualized yield to the risk-free rate, especially for long-duration deals*.
</categorization>
<deconstruction>
Long duration deals have high 'Beta' to the market. If market crashes in 18 months, deal might break (MAC). You are tying up capital for too long for too little.
</deconstruction>
<conclusion>
Pass. Arb spreads should offer a premium over cash (e.g., Cash + 300bps). 18 months is an eternity in M&A.
</conclusion>"
"Explain the concept of deal spread compression. When would you expect it to occur, and how would you position your portfolio?","<reason>
Spread compression means the Target price moves closer to the Deal price (Spread narrows). This happens as milestones are met (Shareholder vote passed, Regulatory approval granted, Financing secured).
</reason>
<exception>
Positioning: Buy early (wide spread) and hold. Or 'Trade around the position'—sell when spread is tight, buy back when it widens on noise. Compression follows the 'risk reduction' timeline.
</exception>
<tension>
This is a tension between 'Event Catalysts' and 'Market Volatility'.
</tension>
<categorization>
We must segregate **Event Catalysts** from **Market Volatility**. The former prioritizes *the narrowing of the spread as milestones are met*, while the latter prioritizes *trading around the position to capture noise-driven widening*.
</categorization>
<deconstruction>
Most compression happens at the end (closing). The curve is not linear. It is flat, then jumps.
</deconstruction>
<conclusion>
Enter after the initial announcement pop settles (the 'Arb spread establishment'). Add size as approvals come in and risk decreases.
</conclusion>"
A debt-financed acquisition faces potential financing risk. How would you assess the probability of deal break due to financing failure?,"<reason>
Check the 'Debt Commitment Letters'. Are they fully committed? Are there 'Market Outs' (banks can walk if market tanks)? Check the acquirer's credit rating and the LBO math (Interest Coverage).
</reason>
<exception>
In a credit crunch, even committed financing can fail (banks stall). Or the cost of debt rises so much the deal becomes accretive. If the acquirer is PE, they are ruthless; if Strategic, they might over-equitize to save the deal.
</exception>
<tension>
This is a tension between 'Contractual Obligation' and 'Economic Viability'.
</tension>
<categorization>
We must segregate **Contractual Obligation** from **Economic Viability**. The former prioritizes *the legal strength of debt commitment letters*, while the latter prioritizes *the risk that banks or buyers will renege if the credit environment collapses*.
</categorization>
<deconstruction>
Look at the 'Reverse Termination Fee'. If it is low (3%), the buyer has an option to walk away cheap. If high (10%), they are committed.
</deconstruction>
<conclusion>
Avoid deals with weak commitment letters in volatile credit markets. High yield spreads widening = Financing risk rising.
</conclusion>"
How would you model shareholder vote risk in a merger? What factors influence shareholder approval probability?,"<reason>
Factors: Premium to undisturbed price (is it fair?), ISS/Glass Lewis recommendation (proxy advisors), Shareholder base (Arbs vs Index vs Activists). Arbs vote Yes. Index votes with ISS. Activists fight for more.
</reason>
<exception>
Vote risk is high if the premium is low (<20%) or if the target stock was much higher recently (anchoring). 'Deal Jumping' risk: Shareholders vote No hoping for a better bid.
</exception>
<tension>
This is a tension between 'Board Recommendation' and 'Shareholder Greed'.
</tension>
<categorization>
We must segregate **Board Recommendation** from **Shareholder Greed**. The former prioritizes *the fairness opinion*, while the latter prioritizes *the risk of shareholders voting 'No' to demand a higher bump*.
</categorization>
<deconstruction>
Model the register. If 40% are Arbs, the vote passes (they want the quick exit). If 40% are Founders/Insiders, check their lock-ups.
</deconstruction>
<conclusion>
Track the Arb participation. As Arbs buy in, the vote becomes safer. Risk is highest early on.
</conclusion>"
A fund is considering a long position in the acquirer (synergy play) in addition to the arb spread. How would you structure this dual position?,"<reason>
Standard Arb: Long Target, Short Acquirer. Dual Position: Long Target, No Hedge (or Partial Hedge). You keep the Acquirer exposure. You are betting on the deal closing AND the Acquirer rising (deal is accretive).
</reason>
<exception>
Risky. If deal breaks, Target falls (Loss) and Acquirer might rise (Double whammy? No, usually Acquirer rises on break). Actually, if deal breaks, Acquirer usually goes UP (relief rally). So unhedged Long Target is risky.
</exception>
<tension>
This is a tension between 'Arb P&L' and 'Directional P&L'.
</tension>
<categorization>
We must segregate **Arb P&L** from **Directional P&L**. The former prioritizes *hedging the acquirer to isolate the spread*, while the latter prioritizes *leaving the acquirer unhedged to bet on the deal's accretion*.
</categorization>
<deconstruction>
Better structure: Long Target, Long Call on Acquirer. Or simply Buy Acquirer after the deal closes (Post-Arb). Don't mix the trades.
</deconstruction>
<conclusion>
Keep Arb pure (Hedged). If you like the Acquirer, hold it in a separate book. Mixing them muddies the risk management.
</conclusion>"
Explain the concept of reverse merger arbitrage. When would this trade be attractive?,"<reason>
Reverse Merger: Private company buys Public shell. Arb: Short the Shell? No. Usually, it refers to Shorting the Target and Buying the Acquirer? Or specific SPAC structures.
</reason>
<exception>
Actually, in a 'Reverse Morris Trust' or similar, the mechanics differ. Or 'Chinese Reverse Mergers' (frauds). Generally, it involves betting on the spread between the shell value and the post-merger value. Attractive when the market underestimates the private asset.
</exception>
<tension>
This is a tension between 'Shell Value' and 'Operating Value'.
</tension>
<categorization>
We must segregate **Shell Value** from **Operating Value**. The former prioritizes *the mechanics of the public vehicle*, while the latter prioritizes *the unrecognized value of the private asset merging into it*.
</categorization>
<deconstruction>
SPAC Arb: Buy SPAC below NAV ($10). Redeem if deal is bad. Keep warrants/rights if deal is good. It is a convex trade.
</deconstruction>
<conclusion>
Attractive in SPACs below NAV (Risk-free yield + Option). In traditional reverse mergers, it's a fundamental bet, not a pure arb.
</conclusion>"
How would you analyze antitrust concerns in a merger? What precedents would you review?,"<reason>
Define the 'Relevant Market'. Calculate HHI (Herfindahl-Hirschman Index). If delta HHI > 200 and HHI > 2500, it's presumed anti-competitive. Review past DOJ challenges in the same sector.
</reason>
<exception>
Definitions matter. Is the market 'Search' (Google dominant) or 'Digital Ads' (Google vs FB vs Amazon)? Regulators define markets narrowly to block deals. Companies define them broadly.
</exception>
<tension>
This is a tension between 'Consumer Welfare Standard' (Price) and 'Neo-Brandeisian' (Structure/Power).
</tension>
<categorization>
We must segregate **Consumer Welfare Standard** from **Neo-Brandeisian Theory**. The former prioritizes *price impact and traditional market definition*, while the latter prioritizes *market structure and the political desire to block consolidation*.
</categorization>
<deconstruction>
Precedents: Microsoft/Activision, T-Mobile/Sprint. Look for 'Vertical' vs 'Horizontal' logic. Vertical deals (supply chain) are harder to block than Horizontal (competitor).
</deconstruction>
<conclusion>
Consult antitrust counsel. Don't rely on common sense. Regulatory logic is political. Assume delay.
</conclusion>"
"A merger agreement includes material adverse change (MAC) clauses. How would you interpret these, and what triggers them?","<reason>
MAC allows the buyer to walk away if the target suffers a massive, disproportionate decline (e.g., fraud, factory burns down). Standard exclusions: General economic decline, war, industry conditions (unless target is hit disproportionately).
</reason>
<exception>
MACs are rarely enforced in court (Delaware is strict). Buyers use MAC threats to renegotiate price (Price Cut), not to break. The bar is 'Durationally Significant' impact on earnings (years, not quarters).
</exception>
<tension>
This is a tension between 'Buyer Remorse' and 'Binding Contract'.
</tension>
<categorization>
We must segregate **Buyer Remorse** from **Binding Contract**. The former prioritizes *the buyer's desire to exit or renegotiate*, while the latter prioritizes *the high legal bar for invoking a Material Adverse Change clause*.
</categorization>
<deconstruction>
COVID-19 was a test. Courts ruled it was a 'Natural Disaster' (often excluded) or 'General Industry' decline. LVMH/Tiffany renegotiated. Sycamore/VS broke.
</deconstruction>
<conclusion>
MAC is a renegotiation tool. If a MAC is argued, expect a 10-20% price cut, not a full break, unless the asset is fundamentally broken.
</conclusion>"
How would you hedge currency risk in a cross-border M&A arbitrage?,"<reason>
Target in EUR, Buyer in USD. Deal cash in EUR. You buy Target (EUR). You are Long EUR. Hedge by selling EURUSD Forwards or Futures. Match the notional and the expected closing date.
</reason>
<exception>
Deal break risk creates 'Contingent FX Risk'. If deal breaks, you don't receive the EUR cash, but you are short the Forward. You are naked short EUR. If EUR rallies, you lose on the hedge AND the deal.
</exception>
<tension>
This is a tension between 'Deal Hedge' and 'Break Exposure'.
</tension>
<categorization>
We must segregate **Deal Hedge** from **Break Exposure**. The former prioritizes *neutralizing FX risk assuming the deal closes*, while the latter prioritizes *the contingent risk of being naked short currency if the deal breaks*.
</categorization>
<deconstruction>
Use 'Deal Contingent Forwards' (Banks offer this). You only pay if the deal closes. Higher spread, but removes the break risk. Or use FX Options (Puts).
</deconstruction>
<conclusion>
Use FX Forwards if confidence is high. Use Options/Contingent hedges if regulatory risk is high. Never leave FX unhedged in arb.
</conclusion>"
A merger is announced at a 30% premium. Is the high premium a sign of strong synergies or deal risk?,"<reason>
High premium implies the buyer sees massive value (Synergies) or was in a bidding war. It suggests high conviction.
</reason>
<exception>
It could be 'Desperation'. The buyer is overpaying to hide their own growth issues. Or the target refused to sell lower. High premiums attract shareholder lawsuits and regulatory scrutiny (Why so profitable?).
</exception>
<tension>
This is a tension between 'Value Creation' and 'Overpayment/Winner's Curse'.
</tension>
<categorization>
We must segregate **Value Creation** from **Winner's Curse**. The former prioritizes *high conviction synergies*, while the latter prioritizes *the risk that the buyer overpaid or is desperate*.
</categorization>
<deconstruction>
Check the spread. If Premium is 30% but Spread is 10%, the market disbelieves the deal. If Premium 30%, Spread 1%, market loves it.
</deconstruction>
<conclusion>
Premium indicates Buyer's view. Spread indicates Market's view. Trust the Spread.
</conclusion>"
How would you structure a portfolio of merger arb trades to optimize risk/reward?,"<reason>
Diversify. Hold 20-30 deals. Limit position size (5%). Mix strategies: Cash deals (Safe), Stock deals (Hedged), Bidding wars (Long Only). Avoid correlated regulatory risks (e.g., don't hold 5 tech deals blocked by the same FTC).
</reason>
<exception>
Arb is 'Short Put' profile. Correlations go to 1 in a crash (deals break together due to financing). Diversification helps idiosyncratic break risk but not systemic break risk. You need tail hedges (Index Puts).
</exception>
<tension>
This is a tension between 'Deal Specific Risk' and 'Market Beta'.
</tension>
<categorization>
We must segregate **Deal Specific Risk** from **Market Beta**. The former prioritizes *diversifying across many uncorrelated deals*, while the latter prioritizes *hedging the systemic tail risk that all deals break in a crash*.
</categorization>
<deconstruction>
Use leverage carefully. Arb returns (5%) need leverage (2-3x) to meet HF targets (10-15%). This magnifies the tail risk.
</deconstruction>
<conclusion>
Diversify across sectors and deal types. Hedge market beta. Limit leverage to 2x. Accept that in 2008-style liquidity events, you will draw down.
</conclusion>"
A distressed company is trading at 50% of book value. How would you conduct fundamental due diligence to assess if it's a turnaround or a value trap?,"<reason>
Check Liquidity: Cash burn vs Cash balance. Debt Maturity wall. Check Solvency: Asset liquidation value vs Liabilities. Is the core business profitable (positive EBITDA)?
</reason>
<exception>
Book value is historic. In distressed, 'Intangibles' (Goodwill) are zero. Inventory/Receivables might be impaired. Real estate might be understated. You need 'Adjusted Net Asset Value'.
</exception>
<tension>
This is a tension between 'Accounting Book' and 'Economic Reality'.
</tension>
<categorization>
We must segregate **Accounting Book** from **Economic Reality**. The former prioritizes *historical book value*, while the latter prioritizes *liquidity, solvency, and the adjusted value of assets in a liquidation*.
</categorization>
<deconstruction>
Turnaround requires a 'Catalyst' (New CEO, Asset Sale, Debt Restructuring). Without a catalyst, cheap stays cheap.
</deconstruction>
<conclusion>
Ignore Book Value. Build a liquidation model. If Liquidation Value > Market Cap, it's a buy (Net-Net). If not, you are betting on ops improvement.
</conclusion>"
A company files for bankruptcy. What is your framework for analyzing the equity's potential recovery value?,"<reason>
Framework: Waterfall Analysis. Enterprise Value (Sold/Reorganized) minus Senior Debt, minus Junior Debt, minus Unsecured. Equity gets the residual. Usually, Equity = Zero.
</reason>
<exception>
Option Value. If the bankruptcy is long (2 years) and vol is high, equity is a deep OTM Call option. If the company discovers a gold mine or markets roar back, equity might recover. 'Gifting': Seniors might gift equity to Juniors to speed up the process.
</exception>
<tension>
This is a tension between 'Absolute Priority Rule' (APR) and 'Negotiation Dynamics'.
</tension>
<categorization>
We must segregate **Absolute Priority Rule** from **Negotiation Dynamics**. The former prioritizes *the legal waterfall where equity gets zero*, while the latter prioritizes *the option value or 'tips' extracted by equity holders to speed up the process*.
</categorization>
<deconstruction>
Trade the debt, not the equity. Debt converts to the new equity. Old equity is usually wiped out. Only buy old equity if you suspect the debt is unimpaired (Solvent bankruptcy).
</deconstruction>
<conclusion>
Assume zero. Only invest if 'Assets > Liabilities' clearly, or if playing a volatility option with 'lotto ticket' sizing.
</conclusion>"
Explain the concept of emergence equity. How would you calculate expected returns from a Chapter 11 emergence scenario?,"<reason>
Emergence Equity is the new stock issued upon exiting Chapter 11. It is usually owned by former creditors. Valuation is often low (Post-Bankruptcy stigma, forced selling by bond funds). Returns come from valuation normalization and operational turnaround (clean balance sheet).
</reason>
<exception>
Calculation: Estimate Exit EBITDA. Apply peer multiple (discounted). Subtract New Debt. = New Equity Value. Compare to cost basis of the debt purchased. The 'Overhang' of selling pressure can depress price for months.
</exception>
<tension>
This is a tension between 'Fair Value' and 'Technical Selling Pressure'.
</tension>
<categorization>
We must segregate **Fair Value** from **Technical Selling Pressure**. The former prioritizes *the clean balance sheet and earnings potential*, while the latter prioritizes *the post-emergence discount caused by forced selling*.
</categorization>
<deconstruction>
It is a classic 'Value' trade. The company has no debt service burden anymore. Earnings explode. The market ignores it.
</deconstruction>
<conclusion>
Buy the Fulcrum Debt pre-emergence, or buy the New Equity post-emergence after the initial sell-off. Target 2-3x returns.
</conclusion>"
A distressed bond is trading at 40 cents on the dollar. How would you estimate the recovery value and probability of default?,"<reason>
Market implies: Price = (1-PD)*Par + PD*Recovery. If Price 40, and assume Recovery 40, then PD is effectively 100%. The market prices it as certain default. Recovery estimation: Asset coverage analysis.
</reason>
<exception>
Distressed bonds trade on 'Recovery', not yield. Analysis: Liquidation value of collateral vs Priority of claim. If it's Senior Secured, 40 might be cheap. If Unsecured, 40 might be expensive (expecting 0).
</exception>
<tension>
This is a tension between 'Yield to Maturity' (useless here) and 'Recovery Yield'.
</tension>
<categorization>
We must segregate **Yield to Maturity** from **Recovery Yield**. The former prioritizes *coupon payments*, while the latter prioritizes *the expected recovery value of the collateral upon default*.
</categorization>
<deconstruction>
Look at the 'Blocking Position'. If you own 33% of the bonds, you can block a bad restructuring plan. Control adds value.
</deconstruction>
<conclusion>
Ignore PD (it's 1). Focus entirely on LGD (Loss Given Default). Buy if calculated Recovery > 50.
</conclusion>"
How would you model the dilution impact on existing shareholders from a debt-to-equity conversion in bankruptcy?,"<reason>
Assume Total Enterprise Value (TEV). Subtract New Debt. The rest is New Equity Value. Determine how much of this goes to Creditors to satisfy their claim. Existing shareholders usually get < 5% (warrants) or 0%.
</reason>
<exception>
Existing shareholders might fight for a 'Tip'. If they threaten to delay the process, Creditors might give them 2% to go away. This is 'Payer's Option'.
</exception>
<tension>
This is a tension between 'Legal Entitlement' (Zero) and 'Process Expediency' (Settlement).
</tension>
<categorization>
We must segregate **Legal Entitlement** from **Process Expediency**. The former prioritizes *the creditors' right to 100% of the equity*, while the latter prioritizes *the small dilution accepted to settle with old shareholders*.
</categorization>
<deconstruction>
Model: Old Equity % = Max(0, (TEV - Debt) / TEV). If Debt > TEV, Old Equity = 0. Dilution is effectively 100%.
</deconstruction>
<conclusion>
Existing shareholders get wiped. The 'dilution' is absolute. The new equity is owned by the old lenders.
</conclusion>"
A company negotiates a debt restructuring agreement. How would you analyze the impact on equity value?,"<reason>
Out-of-court restructuring (Exchange Offer). Debtors accept a haircut or equity swap. Positive: Avoids bankruptcy costs, extends runway. Negative: Massive dilution.
</reason>
<exception>
If the debt reduction is sufficient to make the equity 'In the Money' again, the stock can soar (Option Value). It removes the immediate bankruptcy 0. But if it just kicks the can, the equity bleeds.
</exception>
<tension>
This is a tension between 'Dilution' (Share count up) and 'Survival' (EV preserved).
</tension>
<categorization>
We must segregate **Dilution** from **Survival**. The former prioritizes *the massive share count increase inherent in debt-for-equity swaps*, while the latter prioritizes *the preservation of Enterprise Value and option value by avoiding bankruptcy costs*.
</categorization>
<deconstruction>
Analyze the 'Pro Forma' cap table. Is the new debt load sustainable? If yes, the equity is a 'Leap' option. If no, it's a zombie.
</deconstruction>
<conclusion>
Usually bearish for equity (dilution). But if it prevents Ch 11, it is bullish relative to the alternative (zero).
</conclusion>"
"Explain the concept of a pre-packaged bankruptcy (prepack). How does it differ from a traditional bankruptcy, and what are the implications for equity holders?","<reason>
Prepack: The company negotiates the plan with creditors *before* filing. They file Ch 11 just to enforce it on holdouts. Fast (30-90 days). Low cost.
</reason>
<exception>
Traditional (Free Fall): File first, negotiate later. Slow, expensive, uncertain. Prepacks usually wipe equity quickly, but sometimes leave warrants (Tip). Free falls deplete value through legal fees.
</exception>
<tension>
This is a tension between 'Speed/Certainty' and 'Discovery/Optionality'.
</tension>
<categorization>
We must segregate **Speed/Certainty** from **Discovery/Optionality**. The former prioritizes *minimizing time and legal fees via a Prepack*, while the latter prioritizes *the ability to challenge claims and contracts in a Free Fall bankruptcy*.
</categorization>
<deconstruction>
For equity holders, Prepack is a quick death. Free Fall offers a slim chance of a valuation fight (valuation committees) that might find value.
</deconstruction>
<conclusion>
Prepacks preserve Enterprise Value (good for creditors). They confirm Equity Zero faster (bad for volatility traders).
</conclusion>"
How would you analyze management's credibility and capability during a restructuring process?,"<reason>
Track record. Did they hit guidance? Did they sell assets at good prices? Incentives: Do they own equity or just options? Are they getting a 'Retention Bonus' (KET)?
</reason>
<exception>
In restructuring, you often need a CRO (Chief Restructuring Officer). The old management is usually part of the problem. If the CEO is still optimistic while cash bleeds, credibility is zero.
</exception>
<tension>
This is a tension between 'Operational Knowledge' (Old Mgmt) and 'Financial Discipline' (Restructuring Advisors).
</tension>
<categorization>
We must segregate **Operational Knowledge** from **Financial Discipline**. The former prioritizes *the historical context provided by existing management*, while the latter prioritizes *the ruthless cash management and neutrality of a Chief Restructuring Officer*.
</categorization>
<deconstruction>
Watch the 'Cash Flow Forecast'. If they consistently miss the 13-week cash flow, they are incompetent or lying. This is the only metric that matters in distress.
</deconstruction>
<conclusion>
Trust the CRO. Discount the CEO. Look for 'Change of Control' payouts that align them with a sale.
</conclusion>"
"A distressed company has multiple asset classes (debt, equity, preferred). How would you structure positions across the capital structure?","<reason>
Capital Structure Arbitrage. Long Senior / Short Junior? Or Long Bond / Short Equity. Bet on the valuation break. If EV is 500, Senior is 300, Junior is 400. Senior is money good (Buy). Junior is the fulcrum (Buy for equity). Equity is zero (Short).
</reason>
<exception>
Complexity: 'Structural Subordination' (OpCo vs HoldCo debt). Collateral stripping (J.Crew). The legal document (Indenture) matters more than the math.
</exception>
<tension>
This is a tension between 'Valuation Math' and 'Legal Loopholes'.
</tension>
<categorization>
We must segregate **Valuation Math** from **Legal Loopholes**. The former prioritizes *arbitraging the price gaps across the capital structure based on asset coverage*, while the latter prioritizes *the risks of structural subordination and collateral stripping in the indenture*.
</categorization>
<deconstruction>
Buy the Fulcrum Security. It has the most convexity. Hedge with Equity puts. Avoid the 'Middle' if you aren't sure where the value breaks.
</deconstruction>
<conclusion>
Long Fulcrum Debt, Short Equity. This captures the reorganization value and hedges the downside.
</conclusion>"
How would you monitor covenant violations and liquidity in a distressed situation?,"<reason>
Read the Credit Agreement. Track EBITDA vs Covenant levels (Maintenance Covenants). Forecast 13-week cash flow. Monitor revolver availability.
</reason>
<exception>
'Covenant Lite' loans have no maintenance covenants (only incurrence). The trigger is running out of cash, not missing EBITDA. This delays the default but makes the recovery lower (assets burn down).
</exception>
<tension>
This is a tension between 'Early Warning' (Covenants) and 'Sudden Death' (Liquidity).
</tension>
<categorization>
We must segregate **Early Warning** from **Sudden Death**. The former prioritizes *maintenance covenants that trigger default before cash runs out*, while the latter prioritizes *the risk of Covenant Lite loans where default only happens at total insolvency*.
</categorization>
<deconstruction>
Watch 'Working Capital'. Distressed firms stretch payables (DPO). This is a hidden debt. When vendors stop shipping, liquidity collapses instantly.
</deconstruction>
<conclusion>
Focus on Liquidity (Cash + Revolver). Covenants are waivable; payroll is not.
</conclusion>"
Explain the concept of control contests in bankruptcy. How would you bet on the outcome?,"<reason>
Different creditor classes fight for ownership. Seniors want a low valuation (to own 100% and squeeze Juniors). Juniors want a high valuation (to get a recovery). It is a valuation dispute.
</reason>
<exception>
Betting: Buy the class that controls the 'Fulcrum'. Or buy the 'Blocking Piece' (33% of a class) to force a settlement. 'Vote Buying'.
</exception>
<tension>
This is a tension between 'Valuation Expert A' and 'Valuation Expert B'. The Judge decides.
</tension>
<categorization>
We must segregate **Senior Valuation** from **Junior Valuation**. The former prioritizes *a low valuation to secure 100% ownership*, while the latter prioritizes *a high valuation to ensure the money trickles down to their class*.
</categorization>
<deconstruction>
The Senior class usually wins because they can 'Credit Bid' their debt to buy the assets. Juniors need to write a cash check to refinance them, which is hard in distress.
</deconstruction>
<conclusion>
Bet on the Seniors unless the asset value is clearly huge. 'Possession is nine-tenths of the law'.
</conclusion>"
A creditor committee is formed to negotiate a restructuring plan. How would you forecast the outcome?,"<reason>
Analyze the composition. Who is on the UCC (Unsecured Creditors Committee)? Hedge funds (aggressive)? Trade creditors (want business continuity)? Unions?
</reason>
<exception>
Forecast based on incentives. Hedge funds want Equity/Exit. Trade creditors want Cash/payment terms. The Plan will be a compromise that gives everyone just enough to vote Yes (Solicitation).
</exception>
<tension>
This is a tension between 'Liquidation Value' and 'Reorg Value'.
</tension>
<categorization>
We must segregate **Liquidation Value** from **Reorg Value**. The former prioritizes *the cash recovery of selling assets now*, while the latter prioritizes *the potential upside of the reorganized equity*.
</categorization>
<deconstruction>
The 'Exclusivity Period' gives the Debtor (Management) power initially. Once that expires, Creditors can file their own plan. The timeline dictates leverage.
</deconstruction>
<conclusion>
The outcome converges on the Fulcrum Security owning the NewCo. Junior classes get warrants (Gifting) to shut up.
</conclusion>"
